impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,erases,table_size,active,available,tombstones,total_probes,inserts,deletes,lookups,full_scans,compactions,max_in_table,available_pct,load_factor_pct,eff_load_factor_pct,tombstones_pct,average_probes,probe_type,compaction_state
hash_map_single,lru_profile,lru_profile_N_1024_S_23.trace,1024,23,14.8384,20914,12288,8626,1279,1024,71,184,299251,9650,8626,0,0,18,1024,5,80,94,14,16.373988,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_1024_S_23.trace,1024,23,16.2394,20914,12288,8626,1279,1024,112,143,118755,9650,8626,0,0,23,1024,8,80,91,11,6.497866,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_1048576_S_23.trace,1048576,23,15862.2,21398472,12582912,8815560,1310809,1048576,68984,193249,332053961,9864136,8815560,0,0,18,1048576,5,79,94,14,17.776197,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_1048576_S_23.trace,1048576,23,20700.1,21398472,12582912,8815560,1310809,1048576,157612,104621,122850514,9864136,8815560,0,0,23,1048576,12,79,87,7,6.576687,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_131072_S_23.trace,131072,23,1874.33,2675573,1572864,1102709,163861,131072,9268,23521,41700163,1233781,1102709,0,0,18,131072,5,79,94,14,17.847354,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_131072_S_23.trace,131072,23,2102.4,2675573,1572864,1102709,163861,131072,18803,13986,15347053,1233781,1102709,0,0,23,131072,11,79,88,8,6.568422,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_16384_S_23.trace,16384,23,245.189,334156,196608,137548,20479,16384,1087,3008,5154352,153932,137548,0,0,18,16384,5,80,94,14,17.683381,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_16384_S_23.trace,16384,23,273.774,334156,196608,137548,20479,16384,3045,1050,1921532,153932,137548,0,0,23,16384,14,80,85,5,6.592329,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_2048_S_23.trace,2048,23,31.0998,41845,24576,17269,2551,2048,312,191,652216,19317,17269,0,0,19,2048,12,80,87,7,17.826928,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_2048_S_23.trace,2048,23,34.1159,41845,24576,17269,2551,2048,167,336,242764,19317,17269,0,0,23,2048,6,80,93,13,6.635434,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_262144_S_23.trace,262144,23,3762.92,5348813,3145728,2203085,327739,262144,18178,47417,83591081,2465229,2203085,0,0,18,262144,5,79,94,14,17.906054,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_262144_S_23.trace,262144,23,4290.63,5348813,3145728,2203085,327739,262144,39816,25779,30677946,2465229,2203085,0,0,23,262144,12,79,87,7,6.571526,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_32768_S_23.trace,32768,23,507.214,668561,393216,275345,40849,32768,4860,3221,10599107,308113,275345,0,0,19,32768,11,80,88,7,18.166015,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_32768_S_23.trace,32768,23,551.829,668561,393216,275345,40849,32768,2128,5953,3870771,308113,275345,0,0,23,32768,5,80,94,14,6.634190,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_4096_S_23.trace,4096,23,61.8949,83656,49152,34504,5101,4096,350,655,1251894,38600,34504,0,0,19,4096,6,80,93,12,17.124836,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_4096_S_23.trace,4096,23,69.6985,83656,49152,34504,5101,4096,651,354,481602,38600,34504,0,0,24,4096,12,80,87,6,6.587902,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_524288_S_23.trace,524288,23,7868.36,10698161,6291456,4406705,655243,524288,34375,96580,167116460,4930993,4406705,0,0,18,524288,5,80,94,14,17.896966,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_524288_S_23.trace,524288,23,9460.06,10698161,6291456,4406705,655243,524288,74769,56186,61455840,4930993,4406705,0,0,23,524288,11,80,88,8,6.581477,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_65536_S_23.trace,65536,23,995.566,1337348,786432,550916,81931,65536,16176,219,20762409,616452,550916,0,0,19,65536,19,79,80,0,17.785659,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_65536_S_23.trace,65536,23,1095.45,1337348,786432,550916,81931,65536,10647,5748,7695416,616452,550916,0,0,23,65536,12,79,87,7,6.592108,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_8192_S_23.trace,8192,23,127.005,167022,98304,68718,10273,8192,1576,505,2692493,76910,68718,0,0,18,8192,15,79,84,4,18.488841,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_8192_S_23.trace,8192,23,135.495,167022,98304,68718,10273,8192,783,1298,952314,76910,68718,0,0,22,8192,7,79,92,12,6.539361,double,compaction_on
