impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,findmins,deletemins,extractmins
quadratic_oracle,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,5.4565,3072,1024,1024,1024,0
binary_heap,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,0.273833,3072,1024,1024,1024,0
binomial_queue,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,1.419,3072,1024,1024,1024,0
linear_base,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,0.044042,3072,1024,1024,1024,0
binary_heap,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,496.265,3145728,1048576,1048576,1048576,0
binomial_queue,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,2671.67,3145728,1048576,1048576,1048576,0
linear_base,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,37.2434,3145728,1048576,1048576,1048576,0
binary_heap,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,52.2025,393216,131072,131072,131072,0
binomial_queue,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,276.752,393216,131072,131072,131072,0
linear_base,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,4.64975,393216,131072,131072,131072,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.001792,39,13,13,13,0
binary_heap,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.001458,39,13,13,13,0
binomial_queue,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.011875,39,13,13,13,0
linear_base,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.000625,39,13,13,13,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,1173.61,49152,16384,16384,16384,0
binary_heap,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,5.2875,49152,16384,16384,16384,0
binomial_queue,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,28.5581,49152,16384,16384,16384,0
linear_base,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,0.615291,49152,16384,16384,16384,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,19.0907,6144,2048,2048,2048,0
binary_heap,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,0.532417,6144,2048,2048,2048,0
binomial_queue,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,2.88788,6144,2048,2048,2048,0
linear_base,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,0.074792,6144,2048,2048,2048,0
binary_heap,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,110.165,786432,262144,262144,262144,0
binomial_queue,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,603.911,786432,262144,262144,262144,0
linear_base,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,9.46975,786432,262144,262144,262144,0
binary_heap,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,11.6273,98304,32768,32768,32768,0
binomial_queue,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,63.4935,98304,32768,32768,32768,0
linear_base,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,1.17896,98304,32768,32768,32768,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,74.9383,12288,4096,4096,4096,0
binary_heap,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,1.18246,12288,4096,4096,4096,0
binomial_queue,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,5.96125,12288,4096,4096,4096,0
linear_base,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,0.151459,12288,4096,4096,4096,0
binary_heap,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,237.086,1572864,524288,524288,524288,0
binomial_queue,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,1296.15,1572864,524288,524288,524288,0
linear_base,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,18.8635,1572864,524288,524288,524288,0
binary_heap,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,24.9322,196608,65536,65536,65536,0
binomial_queue,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,136.578,196608,65536,65536,65536,0
linear_base,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,2.33571,196608,65536,65536,65536,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,298.447,24576,8192,8192,8192,0
binary_heap,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,2.48542,24576,8192,8192,8192,0
binomial_queue,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,13.1854,24576,8192,8192,8192,0
linear_base,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,0.308584,24576,8192,8192,8192,0
