impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,findmins,deletemins,extractmins
quadratic_oracle,huffman_coding,huffman_coding_N_1024_S_23.trace,1024,23,21.205,4093,2047,0,0,2046
binary_heap,huffman_coding,huffman_coding_N_1024_S_23.trace,1024,23,1.94142,4093,2047,0,0,2046
binomial_queue,huffman_coding,huffman_coding_N_1024_S_23.trace,1024,23,4.04392,4093,2047,0,0,2046
linear_base,huffman_coding,huffman_coding_N_1024_S_23.trace,1024,23,0.081917,4093,2047,0,0,2046
binary_heap,huffman_coding,huffman_coding_N_1048576_S_23.trace,1048576,23,1947.9,4194301,2097151,0,0,2097150
binomial_queue,huffman_coding,huffman_coding_N_1048576_S_23.trace,1048576,23,6534.65,4194301,2097151,0,0,2097150
linear_base,huffman_coding,huffman_coding_N_1048576_S_23.trace,1048576,23,84.009,4194301,2097151,0,0,2097150
binary_heap,huffman_coding,huffman_coding_N_131072_S_23.trace,131072,23,185.064,524285,262143,0,0,262142
binomial_queue,huffman_coding,huffman_coding_N_131072_S_23.trace,131072,23,604.021,524285,262143,0,0,262142
linear_base,huffman_coding,huffman_coding_N_131072_S_23.trace,131072,23,10.4619,524285,262143,0,0,262142
quadratic_oracle,huffman_coding,huffman_coding_N_13_S_23.trace,13,23,0.004292,49,25,0,0,24
binary_heap,huffman_coding,huffman_coding_N_13_S_23.trace,13,23,0.003667,49,25,0,0,24
binomial_queue,huffman_coding,huffman_coding_N_13_S_23.trace,13,23,0.018541,49,25,0,0,24
linear_base,huffman_coding,huffman_coding_N_13_S_23.trace,13,23,0.001041,49,25,0,0,24
quadratic_oracle,huffman_coding,huffman_coding_N_16384_S_23.trace,16384,23,3215.95,65533,32767,0,0,32766
binary_heap,huffman_coding,huffman_coding_N_16384_S_23.trace,16384,23,18.3604,65533,32767,0,0,32766
binomial_queue,huffman_coding,huffman_coding_N_16384_S_23.trace,16384,23,60.754,65533,32767,0,0,32766
linear_base,huffman_coding,huffman_coding_N_16384_S_23.trace,16384,23,1.25871,65533,32767,0,0,32766
quadratic_oracle,huffman_coding,huffman_coding_N_2048_S_23.trace,2048,23,51.2435,8189,4095,0,0,4094
binary_heap,huffman_coding,huffman_coding_N_2048_S_23.trace,2048,23,1.77096,8189,4095,0,0,4094
binomial_queue,huffman_coding,huffman_coding_N_2048_S_23.trace,2048,23,5.90421,8189,4095,0,0,4094
linear_base,huffman_coding,huffman_coding_N_2048_S_23.trace,2048,23,0.157166,8189,4095,0,0,4094
binary_heap,huffman_coding,huffman_coding_N_262144_S_23.trace,262144,23,396.748,1048573,524287,0,0,524286
binomial_queue,huffman_coding,huffman_coding_N_262144_S_23.trace,262144,23,1451.69,1048573,524287,0,0,524286
linear_base,huffman_coding,huffman_coding_N_262144_S_23.trace,262144,23,21.5832,1048573,524287,0,0,524286
quadratic_oracle,huffman_coding,huffman_coding_N_32768_S_23.trace,32768,23,13470.2,131069,65535,0,0,65534
binary_heap,huffman_coding,huffman_coding_N_32768_S_23.trace,32768,23,41.192,131069,65535,0,0,65534
binomial_queue,huffman_coding,huffman_coding_N_32768_S_23.trace,32768,23,133.875,131069,65535,0,0,65534
linear_base,huffman_coding,huffman_coding_N_32768_S_23.trace,32768,23,2.78283,131069,65535,0,0,65534
quadratic_oracle,huffman_coding,huffman_coding_N_4096_S_23.trace,4096,23,215.533,16381,8191,0,0,8190
binary_heap,huffman_coding,huffman_coding_N_4096_S_23.trace,4096,23,4.25121,16381,8191,0,0,8190
binomial_queue,huffman_coding,huffman_coding_N_4096_S_23.trace,4096,23,13.7554,16381,8191,0,0,8190
linear_base,huffman_coding,huffman_coding_N_4096_S_23.trace,4096,23,0.311084,16381,8191,0,0,8190
binary_heap,huffman_coding,huffman_coding_N_524288_S_23.trace,524288,23,952.047,2097149,1048575,0,0,1048574
binomial_queue,huffman_coding,huffman_coding_N_524288_S_23.trace,524288,23,3300.51,2097149,1048575,0,0,1048574
linear_base,huffman_coding,huffman_coding_N_524288_S_23.trace,524288,23,49.6284,2097149,1048575,0,0,1048574
binary_heap,huffman_coding,huffman_coding_N_65536_S_23.trace,65536,23,95.2418,262141,131071,0,0,131070
binomial_queue,huffman_coding,huffman_coding_N_65536_S_23.trace,65536,23,287.405,262141,131071,0,0,131070
linear_base,huffman_coding,huffman_coding_N_65536_S_23.trace,65536,23,5.14663,262141,131071,0,0,131070
quadratic_oracle,huffman_coding,huffman_coding_N_8192_S_23.trace,8192,23,848.16,32765,16383,0,0,16382
binary_heap,huffman_coding,huffman_coding_N_8192_S_23.trace,8192,23,9.35167,32765,16383,0,0,16382
binomial_queue,huffman_coding,huffman_coding_N_8192_S_23.trace,8192,23,31.7308,32765,16383,0,0,16382
linear_base,huffman_coding,huffman_coding_N_8192_S_23.trace,8192,23,0.650625,32765,16383,0,0,16382
